team,games,sos,pts,opp_pts,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,orb,tov
Mississippi Valley State,31.0,-3.91,55.45,77.71,40.16,19.77,51.97,0.01,4.61,15.77,11.29,17.16,9.61,15.97
Missouri,32.0,7.30,72.16,76.19,40.16,25.22,57.44,0.01,7.28,22.81,14.44,18.22,9.16,11.56
Missouri State,33.0,1.01,71.24,71.27,40.61,25.7,58.52,0.01,6.76,21.55,13.09,18.42,10.15,12.03
Monmouth,33.0,-2.98,72.42,72.61,40.03,26.06,60.55,0.01,7.64,22.0,12.67,17.73,11.21,10.45
Montana,36.0,-4.11,76.89,71.83,40.28,27.97,57.64,0.01,7.69,21.5,13.25,16.72,8.31,10.31
Montana State NCAA,35.0,-4.46,75.29,74.46,40.57,26.89,57.49,0.01,9.11,24.66,12.4,17.03,6.77,11.66
Morehead State NCAA,35.0,-5.52,75.29,63.43,40.0,26.97,57.74,0.01,9.4,26.06,11.94,16.91,11.63,11.8
Morgan State,31.0,-5.90,72.68,77.48,40.32,27.1,60.06,0.01,4.77,16.29,13.71,18.1,10.9,14.55
Mount St. Mary's,32.0,-7.45,72.72,71.81,40.47,27.38,57.88,0.01,6.78,19.22,11.19,15.44,9.75,14.53
Murray State,32.0,1.59,69.75,69.91,40.16,25.66,57.53,0.01,6.53,20.34,11.91,17.09,9.34,9.5
Navy,31.0,-9.54,66.45,66.68,40.32,23.1,58.35,0.01,5.84,19.45,14.42,20.35,12.45,10.23
NC State NCAA,41.0,8.93,75.63,71.76,40.49,27.24,60.56,0.01,6.95,20.17,14.2,19.37,10.12,9.56
Nebraska NCAA,34.0,7.53,77.74,70.91,40.44,26.82,59.32,0.01,9.38,26.26,14.71,19.35,9.59,11.09
Nevada NCAA,34.0,4.58,75.94,66.94,40.15,25.91,54.71,0.01,6.68,18.38,17.44,24.24,8.88,10.06
Nevada-Las Vegas,34.0,6.25,73.56,68.85,40.59,26.65,57.62,0.01,6.79,20.15,13.47,18.62,10.29,11.06
New Hampshire,31.0,-3.61,74.13,74.1,40.16,25.84,62.39,0.01,8.87,27.35,13.58,18.23,9.19,12.0
New Mexico NCAA,36.0,5.38,81.0,70.69,40.0,29.64,65.08,0.01,6.47,19.75,15.25,21.56,12.83,10.03
New Mexico State,32.0,0.74,67.69,72.44,40.47,24.09,56.94,0.01,6.44,19.56,13.06,19.28,8.94,11.94
New Orleans,33.0,-5.90,73.55,79.45,40.18,25.64,61.3,0.01,5.42,17.85,16.85,23.39,11.42,12.33
Niagara,32.0,-7.21,72.47,72.09,40.47,25.69,54.66,0.01,6.22,17.19,14.88,19.78,7.34,11.81
Nicholls State,34.0,-5.37,73.88,73.94,41.32,24.97,56.15,0.01,8.35,22.88,15.59,21.5,9.56,13.24
NJIT,28.0,-4.46,67.93,75.04,40.0,23.68,60.04,0.01,7.18,23.79,13.39,18.89,11.46,11.11
Norfolk State,35.0,-7.76,74.51,67.54,40.14,25.94,56.51,0.01,6.37,18.74,16.26,22.51,10.97,12.14
North Alabama,32.0,-5.00,76.47,76.09,40.81,26.78,60.34,0.01,7.69,21.22,15.22,19.81,9.91,10.12
North Carolina NCAA,37.0,9.90,81.95,70.49,40.14,28.27,62.78,0.01,8.14,22.68,17.27,22.76,12.22,10.08
North Carolina A&T,32.0,-3.94,65.56,77.94,40.0,22.69,58.53,0.01,6.0,20.91,14.19,19.91,9.38,9.38
North Carolina Central,31.0,-8.84,76.61,69.0,40.32,26.55,58.45,0.01,7.52,21.97,16.0,23.03,11.26,12.0
North Dakota,32.0,-6.10,75.25,71.88,40.16,26.81,60.44,0.01,8.25,25.28,13.38,18.75,11.44,10.12
North Dakota State,32.0,-3.15,74.62,73.94,41.09,27.28,57.31,0.01,7.88,20.84,12.19,16.97,8.47,11.09
North Florida,32.0,-4.84,78.0,75.84,40.47,26.53,59.91,0.01,11.97,33.22,12.97,16.94,8.88,11.31
North Texas,34.0,4.28,69.21,63.79,40.29,24.29,56.09,0.01,8.35,22.15,12.26,16.65,11.47,11.12
Northeastern,32.0,-3.15,69.41,72.34,40.0,25.31,55.62,0.01,6.38,20.06,12.41,16.59,10.19,12.44
Northern Arizona,33.0,-4.17,68.64,76.64,40.3,25.0,57.06,0.01,6.27,20.09,12.36,17.76,8.3,12.61
Northern Colorado,33.0,-5.25,79.3,77.03,41.21,29.36,60.52,0.01,7.7,22.12,12.88,17.67,8.18,11.15
Northern Illinois,31.0,-1.37,73.19,77.39,40.48,25.81,58.13,0.01,7.32,22.45,14.26,21.23,10.32,12.71
Northern Iowa,33.0,2.86,73.24,71.09,40.3,25.55,56.03,0.01,7.21,20.91,14.94,21.12,8.03,10.3
Northern Kentucky,33.0,-3.73,74.85,73.21,40.61,26.73,58.64,0.01,6.33,19.88,15.06,20.94,10.52,12.33
Northwestern NCAA,34.0,8.50,73.32,69.06,40.74,26.24,57.65,0.01,8.18,20.97,12.68,16.85,8.53,8.82
Northwestern State,32.0,-6.32,70.53,75.91,40.62,25.25,58.5,0.01,6.38,20.09,13.66,20.72,11.41,13.28
Notre Dame,33.0,8.06,64.03,67.15,40.45,22.48,55.27,0.01,7.61,23.94,11.45,15.39,9.82,12.52
Oakland NCAA,36.0,-1.24,76.42,73.17,40.69,26.83,60.17,0.01,8.83,24.86,13.92,18.53,10.64,11.0
Ohio,33.0,-4.58,77.3,69.97,40.45,27.3,60.21,0.01,8.91,25.06,13.79,18.88,10.09,9.73
Ohio State,36.0,8.37,75.5,70.22,40.44,26.58,59.06,0.01,7.06,20.44,15.28,19.92,10.94,10.58
Oklahoma,32.0,8.07,75.38,68.78,40.31,26.09,56.16,0.01,7.47,21.62,15.72,21.16,9.69,12.47
Oklahoma State,32.0,7.97,71.0,72.72,40.47,24.78,56.22,0.01,8.12,24.31,13.31,19.09,9.19,12.91
Old Dominion,32.0,-1.58,70.88,77.0,40.31,26.28,62.53,0.01,6.91,21.69,11.41,17.22,10.0,10.91
Omaha,33.0,-5.07,73.97,72.85,40.3,25.61,56.76,0.01,6.24,19.12,16.52,22.24,8.55,9.88
Oral Roberts,31.0,-2.60,73.39,75.29,40.32,26.19,59.55,0.01,9.19,25.48,11.81,15.9,7.58,9.68
Oregon NCAA,36.0,8.91,75.58,72.28,40.36,27.28,59.58,0.01,7.31,21.61,13.72,19.08,9.92,10.17
Oregon State,32.0,8.38,68.88,72.69,40.94,24.12,54.53,0.01,6.12,18.66,14.5,19.69,8.59,12.34
Pacific,32.0,-0.15,64.72,79.78,40.31,22.66,55.06,0.01,6.34,20.09,13.06,20.31,6.53,11.78
Penn State,33.0,7.52,75.09,73.39,40.3,25.88,59.12,0.01,7.73,23.15,15.61,20.88,9.58,11.09
Pennsylvania,29.0,0.26,74.45,74.38,40.69,26.93,59.34,0.02,9.48,25.86,11.1,16.14,10.45,11.14
Pepperdine,33.0,0.70,72.82,74.03,40.0,26.3,58.3,0.01,6.82,18.91,13.39,19.03,10.12,11.21
Pittsburgh,33.0,6.92,75.61,67.64,40.0,26.45,60.58,0.01,9.61,26.88,13.09,18.48,11.39,9.0
Portland,33.0,1.54,71.52,79.45,40.15,25.03,57.3,0.01,8.85,25.52,12.61,17.61,8.36,11.94
Portland State,32.0,-4.94,71.94,71.84,40.28,25.28,60.91,0.01,7.41,22.81,13.97,20.38,11.72,11.28
Prairie View,31.0,-6.92,70.19,76.39,40.0,24.84,59.06,0.01,4.81,15.77,15.71,21.77,9.77,12.77
Presbyterian,33.0,-5.57,74.82,73.12,40.3,27.18,57.61,0.01,6.36,19.06,14.09,21.24,9.45,11.42
Princeton,29.0,-1.60,77.07,66.62,40.0,26.79,58.45,0.02,10.48,29.45,13.0,16.14,8.41,8.17
Providence,35.0,8.93,72.4,68.77,40.43,25.46,57.46,0.01,8.29,25.46,13.2,18.29,9.17,12.11
Purdue NCAA,39.0,11.60,82.33,69.0,40.38,28.44,58.26,0.01,8.15,20.21,17.31,24.05,12.21,11.33
Purdue Fort Wayne,36.0,-6.09,80.17,71.58,40.28,28.97,61.97,0.01,9.44,26.17,12.78,18.17,8.39,10.42
Queens (NC),33.0,-3.49,80.09,81.61,40.0,28.12,63.48,0.01,8.91,26.18,14.94,21.03,11.27,11.42
Quinnipiac,34.0,-7.32,77.35,71.24,40.15,27.59,61.44,0.01,7.47,21.26,14.71,18.97,10.85,12.44
Radford,33.0,-3.47,72.03,71.55,40.45,26.39,57.79,0.01,7.21,19.85,12.03,16.27,10.27,10.82
Rhode Island,32.0,2.87,72.56,76.34,40.0,25.81,56.25,0.01,6.53,18.72,14.41,22.28,10.38,12.59
Rice,32.0,1.97,72.0,75.66,40.47,26.03,58.75,0.01,7.84,23.25,12.09,17.41,10.31,11.62
Richmond,33.0,2.09,71.88,66.3,40.15,26.48,57.24,0.01,7.33,20.24,11.58,15.82,5.7,8.64
Rider,32.0,-4.28,72.16,72.12,40.47,26.12,60.03,0.01,5.69,16.88,14.22,19.0,11.31,12.44
Robert Morris,32.0,-4.31,72.69,75.78,40.62,26.03,60.22,0.01,8.53,25.38,12.09,16.88,12.22,13.84
Rutgers,32.0,8.57,65.38,66.53,40.16,23.44,60.22,0.01,5.47,19.06,13.03,19.81,12.25,11.41
Sacramento State,34.0,-3.71,67.12,70.41,40.0,23.47,54.56,0.01,7.59,22.94,12.59,17.59,11.74,14.56
Sacred Heart,32.0,-9.45,74.12,72.28,40.0,27.0,59.31,0.01,7.41,20.31,12.72,18.31,9.38,11.66
Saint Francis (PA),30.0,-8.14,65.17,72.7,40.17,23.77,56.07,0.01,6.43,19.2,11.2,18.37,11.9,13.73
Saint Joseph's,35.0,1.67,75.46,70.54,40.29,26.51,59.54,0.01,10.03,28.46,12.4,17.09,10.09,11.46
Saint Louis,33.0,4.15,74.94,79.39,40.0,25.61,56.76,0.01,7.85,21.36,15.88,21.18,8.7,11.76
Saint Mary's (CA) NCAA,34.0,3.46,74.0,59.21,40.29,27.53,59.03,0.01,7.59,21.56,11.35,16.79,13.18,10.21
Saint Peter's NCAA,33.0,-5.33,64.85,64.03,40.15,21.82,55.45,0.01,5.82,17.88,15.39,21.61,12.45,12.55
Sam Houston,33.0,-1.72,72.15,69.15,40.3,25.09,59.03,0.01,7.42,21.12,14.55,20.09,11.91,13.18
Samford NCAA,35.0,-3.23,86.06,74.49,40.0,30.11,61.49,0.01,10.03,25.4,15.8,21.86,10.6,13.0
San Diego,33.0,0.33,72.48,77.27,40.0,25.73,59.94,0.01,7.06,20.52,13.97,19.18,10.03,13.24
San Diego State NCAA,37.0,8.37,74.11,66.68,40.68,25.78,58.57,0.01,7.0,22.22,15.54,21.19,11.68,11.16
San Francisco,34.0,0.23,77.74,66.53,40.29,29.26,60.12,0.01,8.62,24.26,10.59,14.03,9.41,11.53
San Jose State,32.0,3.28,69.62,75.09,40.31,26.0,58.0,0.01,8.34,24.31,9.28,13.22,7.88,10.5
Santa Clara,33.0,1.73,76.91,72.24,40.15,27.64,60.12,0.01,8.21,23.21,13.42,18.79,12.03,12.79
Seattle,37.0,-1.64,73.78,66.78,40.81,25.84,57.92,0.01,7.59,21.92,14.51,19.73,10.08,12.7
Seton Hall,37.0,8.80,73.78,69.92,40.54,26.68,59.03,0.01,6.19,18.41,14.24,18.22,12.03,12.59
Siena,32.0,-5.20,60.44,74.44,40.0,21.94,54.94,0.01,5.28,18.84,11.28,16.91,11.72,15.78
South Alabama,32.0,-3.37,73.97,75.66,40.62,26.09,58.94,0.01,7.47,21.62,14.31,19.09,7.94,11.31
South Carolina NCAA,34.0,6.48,72.06,67.56,40.29,25.44,57.94,0.01,8.06,23.79,13.12,18.44,11.38,10.12
South Carolina State,32.0,-6.18,70.16,74.69,40.31,24.5,59.81,0.01,6.25,19.38,14.91,21.62,14.91,15.22
South Carolina Upstate,30.0,-3.02,71.0,72.93,40.5,26.0,58.43,0.01,7.67,23.03,11.33,17.67,8.73,11.53
South Dakota,32.0,-5.41,76.06,79.22,40.62,27.34,59.88,0.01,7.84,20.91,13.53,18.22,10.44,12.84
South Dakota State NCAA,35.0,-2.70,76.43,71.14,40.29,27.91,57.97,0.01,8.57,23.51,12.03,16.94,8.26,11.29
South Florida,33.0,0.97,75.73,69.33,40.0,25.36,57.58,0.01,8.94,24.36,16.06,21.79,9.94,10.79
Southeast Missouri State,31.0,-6.55,67.03,73.48,40.16,24.65,59.61,0.01,6.19,20.35,11.55,16.52,9.0,11.97
Southeastern Louisiana,32.0,-6.14,69.03,70.97,40.31,23.88,55.28,0.01,7.34,21.16,13.94,19.16,10.72,13.81
Southern,32.0,-6.09,71.09,68.69,40.31,25.22,57.16,0.01,6.91,21.38,13.75,20.41,9.75,14.25
Southern California,33.0,9.54,74.12,74.3,40.61,26.42,58.55,0.01,7.64,21.48,13.64,19.67,10.03,12.67
Southern Illinois,32.0,0.52,72.66,68.22,40.62,24.72,54.56,0.01,8.25,23.78,14.97,19.66,8.44,11.12
SIU Edwardsville,33.0,-7.54,71.52,70.12,40.0,25.21,59.55,0.01,7.24,21.82,13.85,19.12,11.36,10.67
Southern Indiana,32.0,-5.59,68.59,72.97,40.16,23.03,56.59,0.01,6.72,20.75,15.81,21.22,9.97,13.22
Southern Methodist,33.0,2.56,76.82,68.82,40.15,28.3,63.3,0.01,7.61,22.27,12.61,18.36,14.55,11.27
Southern Mississippi,32.0,-2.93,69.88,71.03,40.0,24.22,57.06,0.01,6.28,19.19,15.16,21.66,10.72,12.84
Southern Utah,31.0,-1.17,75.03,77.61,40.16,26.45,60.03,0.01,6.29,20.94,15.84,21.74,10.39,12.03
St. Bonaventure,33.0,1.95,73.45,68.64,40.45,25.85,56.73,0.01,7.61,20.82,14.15,18.27,9.7,10.85
St. John's (NY),33.0,9.58,78.85,71.94,40.0,29.39,64.82,0.01,7.18,21.09,12.88,17.7,14.42,10.91
St. Thomas,33.0,-5.72,72.79,64.85,40.15,26.03,55.27,0.01,9.06,25.12,11.67,16.0,7.73,9.18
Stanford,32.0,7.48,76.34,76.47,40.62,27.56,58.94,0.01,8.94,24.19,12.28,16.88,7.75,12.81
Stephen F. Austin,33.0,-1.76,74.64,71.3,40.76,25.73,57.27,0.01,6.15,18.39,17.03,24.12,11.91,16.06
Stetson NCAA,35.0,-3.24,76.77,73.31,40.14,27.14,58.66,0.01,8.94,24.49,13.54,17.69,9.69,10.54
Stonehill,31.0,-6.10,63.45,76.13,40.16,23.03,57.68,0.01,8.16,26.9,9.23,13.39,8.29,13.58
Stony Brook,35.0,-2.62,73.51,72.31,40.86,26.31,60.03,0.01,7.91,22.14,12.97,17.54,9.6,10.26
Syracuse,32.0,9.40,76.31,75.62,40.0,27.59,59.84,0.01,6.84,20.34,14.28,19.81,8.66,11.38
Tarleton State,35.0,-0.97,74.09,68.63,40.14,27.17,59.74,0.01,5.8,17.8,13.94,18.43,10.83,11.29
TCU NCAA,34.0,7.32,79.03,71.74,40.59,28.35,61.44,0.01,6.59,18.59,15.74,21.53,12.74,12.88
Temple,36.0,1.68,70.86,72.89,40.83,24.33,61.5,0.01,8.22,25.86,13.97,19.69,11.28,9.92
Tennessee NCAA,36.0,10.42,78.78,67.39,40.0,27.19,61.75,0.01,8.75,25.42,15.64,20.83,11.64,10.19
Tennessee State,33.0,-7.64,72.73,71.0,40.15,25.21,57.0,0.01,6.58,20.21,15.73,20.82,9.91,13.21
Tennessee Tech,31.0,-6.29,67.39,73.84,40.32,24.45,54.58,0.01,6.52,19.61,11.97,16.84,6.16,11.9
Tennessee-Martin,32.0,-7.25,81.53,76.72,40.31,28.38,63.91,0.01,8.72,24.34,16.06,20.84,10.16,11.44
Texas NCAA,34.0,9.41,75.38,68.88,40.15,27.41,58.47,0.01,7.21,20.32,13.35,17.65,9.97,11.56
Texas A&M NCAA,36.0,9.32,76.0,71.97,40.28,25.72,64.0,0.01,7.08,24.14,17.47,24.72,17.42,9.61
Texas A&M-Corpus Christi,33.0,-7.24,75.15,66.67,40.45,26.94,62.0,0.01,5.55,18.67,15.73,22.36,13.27,12.12
Texas Southern,33.0,-7.03,70.18,71.09,40.15,24.88,60.0,0.01,7.33,23.21,13.09,18.09,11.06,12.58
Texas State,35.0,-0.74,69.86,70.06,40.29,25.23,56.8,0.01,4.54,13.94,14.86,21.34,11.09,13.43
Texas Tech NCAA,34.0,9.28,75.32,69.65,40.15,25.79,57.15,0.01,8.5,23.65,15.24,19.53,9.94,11.12
Texas-Rio Grande Valley,31.0,-0.90,70.35,79.77,40.32,24.32,58.1,0.01,5.16,17.65,16.55,23.48,9.35,14.0
The Citadel,32.0,-2.91,70.62,71.53,40.16,25.59,55.69,0.01,6.16,18.75,13.28,18.81,9.38,12.03
Toledo,32.0,-2.09,80.0,76.12,40.31,28.75,60.19,0.01,6.47,17.19,16.03,21.25,9.94,10.69
Towson,34.0,-2.27,67.53,63.65,40.44,24.06,56.88,0.01,6.35,19.38,13.06,19.76,14.44,12.15
Troy,32.0,-3.17,79.56,70.66,40.62,26.84,60.94,0.01,8.62,24.59,17.25,23.53,13.34,13.78
Tulane,31.0,2.68,81.94,80.03,40.65,27.61,58.0,0.02,7.52,21.06,19.19,26.23,7.0,11.19
Tulsa,31.0,-1.00,75.0,73.87,40.48,25.13,57.26,0.01,7.71,23.58,17.03,23.13,8.71,13.0
UAB NCAA,35.0,3.73,77.46,75.06,40.57,26.77,59.57,0.01,6.14,18.8,17.77,23.83,12.89,11.6
UC Davis,33.0,-2.85,71.24,68.06,40.3,24.21,54.79,0.01,6.97,20.73,15.85,21.18,9.91,13.45
UC Irvine,34.0,-0.93,77.62,68.26,40.29,28.44,59.85,0.01,5.79,16.62,14.94,19.85,10.59,11.56
UC Riverside,34.0,-1.23,70.71,72.0,40.18,24.76,62.41,0.01,8.44,26.59,12.74,17.76,12.35,9.59
UC San Diego,33.0,-2.80,76.67,69.39,40.45,26.79,58.58,0.01,8.88,24.79,14.21,18.91,9.61,9.7
UC Santa Barbara,31.0,-3.01,75.39,73.55,40.32,26.65,54.32,0.02,6.03,16.74,16.06,21.84,8.13,13.06
UCF,33.0,8.17,71.7,67.94,40.15,24.76,58.94,0.01,6.82,21.15,15.36,21.91,12.36,12.52
UCLA,33.0,7.84,65.97,65.45,40.0,23.09,55.15,0.01,5.55,16.73,14.24,19.52,10.27,10.85
UNC Asheville,34.0,-2.99,78.88,73.09,40.44,26.65,57.35,0.01,8.15,22.32,17.44,23.5,9.38,11.85
UNC Greensboro,32.0,-2.90,75.69,69.78,40.31,27.03,58.69,0.01,10.06,25.38,11.56,15.84,9.97,10.91
UNC Wilmington,31.0,-2.90,79.39,71.03,40.65,27.84,60.35,0.01,8.32,23.9,15.39,20.26,10.65,8.58
UT Arlington,34.0,0.69,76.88,73.29,40.15,25.88,58.26,0.01,8.97,25.32,16.15,21.97,11.88,15.47
Utah,37.0,9.41,78.78,73.19,40.41,29.24,62.41,0.01,9.32,25.22,10.97,16.89,10.0,11.51
Utah State NCAA,35.0,5.29,79.66,71.34,40.57,28.54,58.17,0.01,6.46,19.37,16.11,22.37,9.49,11.0
Utah Tech,31.0,-1.18,70.77,77.06,40.32,24.87,55.61,0.01,6.48,19.23,14.55,22.55,9.9,15.97
Utah Valley,32.0,-0.03,68.72,68.59,40.31,25.03,57.84,0.01,4.81,16.88,13.84,20.47,10.47,12.34
UTEP,34.0,-1.30,72.65,69.06,40.29,25.26,56.53,0.01,5.71,17.91,16.41,23.79,10.62,14.71
UTSA,32.0,-0.71,77.59,80.97,40.62,26.16,63.75,0.01,9.72,28.81,15.56,21.91,13.09,11.25
Valparaiso,32.0,1.17,67.59,75.5,40.0,24.88,61.28,0.01,7.31,22.53,10.53,14.72,10.0,11.03
Vanderbilt,32.0,8.16,67.91,75.88,40.16,23.38,58.66,0.01,6.53,23.06,14.62,20.62,10.75,10.41
Vermont NCAA,35.0,-3.31,71.6,63.0,40.14,25.71,56.57,0.01,8.57,25.09,11.6,16.2,7.66,9.2
Villanova,34.0,9.82,70.24,65.62,40.88,24.29,57.21,0.01,9.26,27.44,12.38,15.32,8.47,9.62
Virginia NCAA,34.0,7.31,62.94,59.79,40.44,23.76,55.5,0.01,6.47,18.09,8.94,14.03,8.76,8.06
Virginia Commonwealth,38.0,4.41,70.97,66.68,40.26,23.84,54.18,0.01,8.47,23.97,14.82,18.97,9.03,12.16
VMI,32.0,-2.44,68.88,82.62,40.16,25.56,60.47,0.01,6.56,21.03,11.19,16.16,9.34,15.84
Virginia Tech,34.0,7.97,74.91,70.97,40.0,26.06,56.03,0.01,8.12,23.29,14.68,18.5,7.74,11.06
Wagner NCAA,33.0,-8.58,63.73,63.12,40.45,22.97,57.97,0.01,7.21,22.03,10.58,15.03,11.18,9.88
Wake Forest,35.0,7.52,78.09,70.66,40.29,27.66,58.34,0.01,7.94,21.83,14.83,18.66,8.46,10.71
Washington,32.0,8.38,80.59,77.12,40.78,29.09,61.88,0.01,8.06,22.75,14.34,19.88,9.41,11.69
Washington State NCAA,35.0,7.19,73.54,66.71,40.29,27.09,58.46,0.01,6.37,18.8,13.0,18.46,11.17,10.94
Weber State,32.0,-4.15,75.44,67.53,40.31,26.34,56.16,0.01,7.84,22.53,14.91,19.91,7.75,9.88
West Virginia,32.0,10.76,69.81,76.84,40.31,23.97,55.75,0.01,7.28,20.84,14.59,20.69,9.16,12.66
Western Carolina,32.0,-3.35,76.84,68.69,40.47,28.19,61.34,0.01,8.16,22.28,12.31,17.28,10.47,10.31
Western Illinois,33.0,-7.37,68.85,65.67,40.3,25.03,58.67,0.01,5.91,18.52,12.88,20.94,14.61,13.21
Western Kentucky NCAA,34.0,-2.91,80.24,74.44,40.03,29.29,62.88,0.01,6.85,20.18,14.79,20.56,10.62,13.82
Western Michigan,32.0,-3.79,71.28,74.88,40.47,25.88,59.75,0.01,7.91,23.34,11.62,18.59,12.56,13.38
Wichita State,34.0,3.20,72.79,73.06,40.29,27.5,61.5,0.01,6.47,19.41,11.32,16.24,11.65,12.32
William & Mary,33.0,-5.55,69.85,72.12,40.15,23.85,57.88,0.01,8.97,27.76,13.18,18.79,10.33,10.82
Winthrop,32.0,-3.42,77.34,71.47,40.94,25.56,55.09,0.01,7.44,21.78,18.78,26.75,10.66,12.97
Wisconsin NCAA,36.0,11.35,74.67,70.0,40.42,26.44,57.42,0.01,7.11,20.39,14.67,19.42,10.06,9.94
Wofford,32.0,-1.60,74.5,73.81,40.62,27.31,59.53,0.01,9.56,26.62,10.31,16.62,10.53,11.66
Wright State,32.0,-3.62,86.47,81.22,40.47,32.28,60.88,0.02,6.81,17.78,15.09,19.94,9.06,11.84
Wyoming,32.0,4.57,72.84,74.47,40.31,24.72,54.84,0.01,7.53,20.25,15.88,21.44,9.59,12.75
Xavier,34.0,11.03,75.85,74.65,40.0,27.15,62.24,0.01,6.82,19.94,14.74,19.76,11.79,11.65
Yale NCAA,33.0,0.41,74.7,67.45,40.61,27.85,59.67,0.01,7.3,20.82,11.7,16.55,9.88,9.58
Youngstown State,32.0,-5.11,81.19,70.91,40.31,29.09,64.5,0.01,8.81,27.25,14.19,18.41,12.78,11.03
